tabe_reading,lexile,rit,nrs_efl
175,BR,,1
176,BR,,1
177,BR,,1
178,BR,,1
179,BR,,1
180,BR,,1
181,BR,,1
182,BR,,1
183,BR,,1
184,BR,,1
185,BR,,1
186,BR,,1
187,BR,,1
188,BR,,1
189,BR,,1
190,BR,,1
191,BR,,1
192,BR,,1
193,BR,,1
194,BR,,1
195,BR,,1
196,BR,,1
197,BR,,1
198,BR,,1
199,BR,,1
200,BR,,1
201,BR,,1
202,BR,,1
203,BR,,1
204,BR,,1
205,BR,,1
206,BR,,1
207,BR,,1
208,BR,,1
209,BR,,1
210,BR,,1
211,BR,,1
212,BR,,1
213,BR,,1
214,BR,,1
215,BR,,1
216,BR,,1
217,BR,,1
218,BR,,1
219,BR,,1
220,BR,,1
221,BR,,1
222,BR,,1
223,BR,,1
224,BR,,1
225,BR,,1
226,BR,,1
227,BR,,1
228,BR,,1
229,BR,,1
230,BR,,1
231,BR,,1
232,BR,,1
233,BR,,1
234,BR,,1
235,BR,,1
236,BR,,1
237,BR,,1
238,BR,,1
239,BR,,1
240,BR,,1
241,BR,,1
242,BR,,1
243,BR,,1
244,BR,,1
245,BR,,1
246,BR,,1
247,BR,,1
248,BR,,1
249,BR,,1
250,BR,,1
251,BR,,1
252,BR,,1
253,BR,,1
254,BR,,1
255,BR,,1
256,BR,,1
257,BR,,1
258,BR,,1
259,BR,,1
260,BR,,1
261,BR,,1
262,BR,,1
263,BR,,1
264,BR,,1
265,BR,,1
266,BR,,1
267,BR,,1
268,BR,,1
269,BR,,1
270,BR,,1
271,BR,,1
272,BR,,1
273,BR,,1
274,BR,,1
275,BR,,1
276,BR,,1
277,BR,,1
278,BR,,1
279,BR,,1
280,BR,,1
281,BR,,1
282,BR,,1
283,BR,,1
284,BR,,1
285,BR,,1
286,BR,,1
287,BR,,1
288,BR,,1
289,BR,,1
290,BR,,1
291,BR,,1
292,BR,,1
293,BR,,1
294,BR,,1
295,BR,,1
296,BR,,1
297,BR,,1
298,BR,,1
299,BR,,1
300,BR,,1
301,BR,,1
302,BR,,1
303,BR,,1
304,BR,,1
305,BR,,1
306,BR,,1
307,BR,,1
